RT_title,RT_aud_score,RT_crit_score,RT_mpaa_rating,RT_runtime,RT_year,num_title,num_month,num_day,num_year,num_budget,num_gross
Tarzan,73,88,G,88,1999,Tarzan,6,16,1999,145000000,171091819
Rise of the Guardians,81,74,PG,97,2012,Rise of the Guardians,11,21,2012,145000000,103412758
Sahara,55,39,PG-13,124,2005,Sahara,4,8,2005,145000000,68671925
Die Another Day,42,57,PG-13,133,2002,Die Another Day,11,22,2002,142000000,160942139
Star Trek,91,95,PG-13,127,2009,Star Trek,5,8,2009,140000000,257730019
Armageddon,100,-1,Unrated,90,1997,Armageddon,7,1,1998,140000000,201578182
Men in Black II,46,39,PG-13,88,2002,Men in Black 2,7,3,2002,140000000,190418803
Captain America: The First Avenger,73,79,PG-13,124,2011,Captain America The First Avenger,7,22,2011,140000000,176654505
Lethal Weapon 4,65,52,R,127,1998,Lethal Weapon 4,7,10,1998,140000000,130444603
G.I. Joe: Retaliation,49,28,PG-13,90,2013,GI Joe Retaliation,3,27,2013,140000000,122523060
The Last Samurai,83,65,R,154,2003,The Last Samurai,12,5,2003,140000000,111110575
Fun With Dick and Jane,50,29,PG-13,90,2005,Fun With Dick And Jane,12,21,2005,140000000,110550000
Spider-Man,67,89,PG-13,121,2002,SpiderMan,5,3,2002,139000000,403706375
Watchmen,70,64,R,163,2009,Watchmen,3,6,2009,138000000,107509799
Stealth,40,13,PG-13,121,2005,Stealth,7,29,2005,138000000,32116746
The Incredible Hulk,72,67,PG-13,112,2008,The Incredible Hulk,6,13,2008,137500000,134806913
Hulk,29,62,PG-13,138,2003,Hulk,6,20,2003,137000000,132177234
Final Fantasy - The Spirits Within,48,44,PG-13,106,2001,Final Fantasy The Spirits Within,7,11,2001,137000000,32131830
The Twilight Saga: Breaking Dawn Part 2,71,48,PG-13,115,2012,The Twilight Saga Breaking Dawn Part 2,11,16,2012,136200000,292324737
The Croods,79,70,PG,98,2013,The Croods,3,22,2013,135000000,187168425
The World Is Not Enough,50,51,PG-13,125,1999,The World is Not Enough,11,19,1999,135000000,126930660
Rango,70,88,PG,107,2011,Rango,3,4,2011,135000000,123257581
Master and Commander: The Far Side of the World,80,85,PG-13,137,2003,Master and Commander The Far Side of the World,11,14,2003,135000000,93926386
Turbo,67,67,PG,95,2013,Turbo,7,17,2013,135000000,83028130
Happy Feet Two,62,46,PG,99,2011,Happy Feet Two,11,18,2011,135000000,64006466
Miami Vice,43,47,R,132,2006,Miami Vice,7,28,2006,135000000,63478838
War of the Worlds,41,74,PG-13,117,2005,War of the Worlds,6,29,2005,132000000,234280354
The Hunger Games: Catching Fire,91,89,PG-13,146,2013,The Hunger Games Catching Fire,11,22,2013,130000000,421750785
