Movie,budget,dom_gross,year,month,day,RT_title,RT_aud_score,RT_crit_score,RT_runtime,RT_cast1,RT_cast2,RT_cast3,imdb_id,Metascore,Language,Director,Genre,imdbRating,imdbVotes,mpaa_kid,mpaa_adult,Holiday,DayOfWeek
Wonder Boys,35000000,19389454,2000,2,23,Wonder Boys,83.0,81.0,112.0,Michael Douglas,Tobey Maguire,Frances McDormand,tt0185014,73.0,English,Curtis Hanson,"Drama, Comedy",7.4,49530.0,0,1,1,2
Walk Hard: The Dewey Cox Story,35000000,18317151,2007,12,21,Walk Hard: The Dewey Cox Story,57.0,74.0,96.0,John C. Reilly,Jenna Fischer,Raymond J. Barry,tt0841046,63.0,English,Jake Kasdan,"Comedy, Drama, Music",6.7,48339.0,0,1,0,4
The Four Feathers,35000000,18306166,2002,9,20,The Four Feathers,66.0,41.0,130.0,Heath Ledger,Wes Bentley,Kate Hudson,tt0240510,49.0,English,Shekhar Kapur,"Adventure, Drama, Romance",6.5,23840.0,1,0,0,4
Furry Vengeance,35000000,17630465,2010,4,30,Furry Vengeance,31.0,8.0,91.0,Brendan Fraser,Brooke Shields,Matt Prokop,tt1365053,23.0,English,Roger Kumble,"Comedy, Family",3.6,9922.0,1,0,0,4
Parker,35000000,17616641,2013,1,25,Parker,49.0,41.0,118.0,Jason Statham,Jennifer Lopez,Clifton Collins Jr.,tt1904996,43.0,English,Taylor Hackford,"Action, Crime, Thriller",6.2,58367.0,0,1,0,4
Wimbledon,35000000,16862585,2004,9,17,Wimbledon,57.0,60.0,98.0,Kirsten Dunst,Paul Bettany,Nikolaj Coster-Waldau,tt0360201,59.0,"English, Italian",Richard Loncraine,"Comedy, Romance, Sport",6.3,42791.0,1,0,0,4
Bait,35000000,15325127,2000,9,15,Bait,42.0,26.0,119.0,Jamie Foxx,David Morse,Doug Hutchison,tt0211938,39.0,English,Antoine Fuqua,"Action, Crime, Thriller",5.7,7556.0,0,1,0,4
Dungeons and Dragons,35000000,15185241,2000,12,8,Dungeons & Dragons,19.0,10.0,107.0,Justin Whalin,Marlon Wayans,Zoe McLellan,tt0190374,14.0,English,Courtney Solomon,"Action, Adventure, Fantasy",3.6,24294.0,1,0,0,4
Lions for Lambs,35000000,14998070,2007,11,9,Lions for Lambs,48.0,27.0,92.0,Robert Redford,Meryl Streep,Tom Cruise,tt0891527,47.0,English,Robert Redford,"Drama, Thriller, War",6.2,35751.0,0,1,1,4
The Tree of Life,35000000,13305665,2011,5,27,The Tree of Life,59.0,84.0,139.0,Brad Pitt,Sean Penn,Jessica Chastain,tt0478304,85.0,English,Terrence Malick,"Drama, Fantasy",6.7,107237.0,1,0,0,4
American Outlaws,35000000,13264986,2001,8,17,American Outlaws,69.0,14.0,95.0,Colin Farrell,Scott Caan,Ali Larter,tt0244000,25.0,English,Les Mayfield,"Action, Western",5.9,10784.0,1,0,0,4
Zoom,35000000,11989328,2006,8,11,Zoom,37.0,3.0,83.0,Tim Allen,Courteney Cox,Chevy Chase,tt0383060,26.0,English,Peter Hewitt,"Action, Adventure, Family",4.1,11692.0,1,0,0,4
The Shipping News,35000000,11405825,2001,12,25,The Shipping News,63.0,55.0,111.0,Kevin Spacey,Julianne Moore,Cate Blanchett,tt0120824,47.0,English,Lasse Hallström,"Drama, Romance",6.8,24527.0,0,1,1,1
The Young Victoria,35000000,11001272,2009,12,18,The Young Victoria,74.0,76.0,105.0,Emily Blunt,Rupert Friend,Paul Bettany,tt0962736,64.0,"English, German",Jean-Marc Vallée,"Biography, Drama, History",7.3,31705.0,1,0,0,4
Knock Off,35000000,10319915,1998,9,4,Knock Off,25.0,8.0,90.0,Jean-Claude Van Damme,Rob Schneider,Lela Rochon,tt0120724,37.0,English,Hark Tsui,"Action, Comedy, Thriller",4.6,9692.0,0,1,0,4
The Fountain,35000000,10144010,2006,11,22,The Fountain,74.0,51.0,95.0,Hugh Jackman,Rachel Weisz,Ellen Burstyn,tt0414993,51.0,"English, Maya",Darren Aronofsky,"Drama, Romance, Sci-Fi",7.4,153346.0,1,0,1,2
Punisher: War Zone,35000000,8050977,2008,12,5,Punisher: War Zone,42.0,27.0,102.0,Ray Stevenson,Dominic West,Julie Benz,tt0450314,30.0,English,Lexi Alexander,"Action, Crime, Drama",6.0,37706.0,0,1,0,4
A Good Year,35000000,7459300,2006,11,10,A Good Year,65.0,25.0,118.0,Russell Crowe,Albert Finney,Marion Cotillard,tt0401445,47.0,"English, French, Russian",Ridley Scott,"Comedy, Drama, Romance",6.9,55520.0,1,0,1,4
Femme Fatale,35000000,6630252,2002,11,6,Femme Fatale,49.0,48.0,110.0,Rebecca Romijn,Antonio Banderas,Peter Coyote,tt0280665,59.0,"English, French, Spanish",Brian De Palma,"Crime, Mystery, Thriller",6.3,24884.0,0,1,0,2
Luther,35000000,5781086,2003,9,26,Luther,75.0,44.0,120.0,Joseph Fiennes,Alfred Molina,Claire Cox,tt0309820,47.0,"English, Latin",Eric Till,"Biography, Drama, History",6.7,10982.0,1,0,0,4
Biutiful,35000000,5101237,2010,1,21,Biutiful,75.0,65.0,148.0,Javier Bardem,Maricel Alvarez,Eduard Fernandez,tt1164999,58.0,"Spanish, Chinese, Wolof",Alejandro González Iñárritu,Drama,7.5,49870.0,0,1,0,3
Smilla's Sense of Snow,35000000,2221994,1997,2,28,Smilla's Sense of Snow,59.0,52.0,121.0,Julia Ormond,Gabriel Byrne,Richard Harris,tt0120152,45.0,"English, Inuktitut",Bille August,"Action, Drama, Sci-Fi",6.4,10423.0,0,1,0,4
The Darkest Hour,34800000,21443494,2011,12,25,The Darkest Hour,26.0,12.0,89.0,Emile Hirsch,Olivia Thirlby,Max Minghella,tt1093357,16.0,"English, Russian",Chris Gorak,"Action, Horror, Sci-Fi",4.9,40418.0,1,0,1,6
The Age of Innocence,34000000,32014993,1993,9,17,The Age of Innocence,76.0,80.0,138.0,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,tt0106226,83.0,"English, Italian",Martin Scorsese,"Drama, Romance",7.3,28810.0,1,0,0,4
Gake no ue no Ponyo,34000000,15090399,2009,8,14,Ponyo,83.0,92.0,101.0,Noah Cyrus,Yuria Nara,Frankie Jonas,tt0876563,86.0,Japanese,Hayao Miyazaki,"Animation, Adventure, Family",7.7,58304.0,1,0,0,4
Chill Factor,34000000,11263966,1999,9,1,Chill Factor,31.0,11.0,102.0,Cuba Gooding Jr.,Skeet Ulrich,Peter Firth,tt0163579,33.0,English,Hugh Johnson,"Action, Adventure, Comedy",5.1,7763.0,0,1,0,2
The Astronaut's Wife,34000000,10672566,1999,8,27,The Astronaut's Wife,33.0,16.0,110.0,Johnny Depp,Charlize Theron,Joe Morton,tt0138304,37.0,English,Rand Ravich,"Drama, Sci-Fi, Thriller",5.2,38083.0,0,1,0,4
